TITLE,ARTIST,YEAR,RUNTIME,WIKIPEDIA ENTRY
We'll Bring the World His Truth,Janice Kapp Perry,1986,N/A,"https://en.wikipedia.org/wiki/Janice_Kapp_Perry"""
Greater Than Us All,Kenneth Cope,1989,43 min,https://en.wikipedia.org/wiki/Kenneth_Cope
The Forgotten Carols,Michael McLean,1991,48 min,https://en.wikipedia.org/wiki/The_Forgotten_Carols
Women at the Well,various artists,1999,49 min,https://en.wikipedia.org/wiki/Deseret_Book_Company#Shadow_Mountain_Records
My Beloved Christ,various artists,2000,45 min,https://en.wikipedia.org/wiki/Deseret_Book_Company#Shadow_Mountain_Records
Jericho Road,Jericho Road,2001,49 min,https://en.wikipedia.org/wiki/Jericho_Road_(band)
He Hears Me,Hilary Weeks,2004,46 min,https://en.wikipedia.org/wiki/Hilary_Weeks
One Voice,Gladys Knight & the Saints Unified Voices,2005,55 min,https://en.wikipedia.org/wiki/One_Voice_(Gladys_Knight_album)
Every Step,Hilary Weeks,2011,45 min,https://en.wikipedia.org/wiki/Hilary_Weeks
Vocal Point,Vocal Point,2012,34 min,https://en.wikipedia.org/wiki/Vocal_Point
The Sound of Glory,Mormon Tabernacle Choir,1959,41 min,https://en.wikipedia.org/wiki/The_Tabernacle_Choir_at_Temple_Square
Spirit of America,Mormon Tabernacle Choir,2003,55 min,https://en.wikipedia.org/wiki/The_Tabernacle_Choir_at_Temple_Square_discography
"Come, Thou Fount of Every Blessing",Mormon Tabernacle Choir,2009,71 min,"https://en.wikipedia.org/wiki/Come,_Thou_Fount_of_Every_Blessing_(album)"
Messiah (Complete Oratorio),Mormon Tabernacle Choir,2016,140 min,https://en.wikipedia.org/wiki/Messiah_(Handel)
Let Us All Press On: Hymns of Praise and Inspiration,The Tabernacle Choir at Temple Square,2019,63 min,https://en.wikipedia.org/wiki/The_Tabernacle_Choir_at_Temple_Square_discography
EFY 1999: A Season for Courage,various artists,1999,46 min,https://en.wikipedia.org/wiki/Especially_for_Youth
EFY 2004: Stand in Holy Places,various artists,2004,49 min,https://en.wikipedia.org/wiki/Especially_for_Youth
EFY 2008: Steady and Sure,various artists,2008,51 min,https://en.wikipedia.org/wiki/Especially_for_Youth
EFY 2013: Firm in the Faith,various artists,2013,49 min,https://en.wikipedia.org/wiki/Especially_for_Youth
EFY 2019: If We Love Him,various artists,2019,42 min,https://en.wikipedia.org/wiki/Especially_for_Youth
Saturday's Warrior,Original 1974 Cast,1974,48 min,https://en.wikipedia.org/wiki/Saturday%27s_Warrior
My Turn on Earth,Original 1977 Cast,1977,46 min,https://en.wikipedia.org/wiki/My_Turn_on_Earth
The New Young Ambassadors,The Young Ambassadors,1972,N/A,https://en.wikipedia.org/wiki/BYU_Young_Ambassadors
Go My Son,The Lamanite Generation,1974,N/A,https://en.wikipedia.org/wiki/BYU_Living_Legends
A Time for Joy,The Young Ambassadors,1976,N/A,https://en.wikipedia.org/wiki/BYU_Young_Ambassadors
An Airus Faire,Kurt Bestor,1987,37 min,https://en.wikipedia.org/wiki/Kurt_Bestor
