TITLE,AUTHOR,YEAR RELEASED,HOW MANY PAGES,LINK TO WIKIPEDIA ENTRY
An Approach to the Book of Mormon,Hugh Nibley,1957,448,https://en.wikipedia.org/wiki/Hugh_Nibley
The God Who Weeps,Terryl Givens & Fiona Givens,2012,144,https://en.wikipedia.org/wiki/Terryl_Givens
The Crucible of Doubt,Terryl Givens & Fiona Givens,2014,192,https://en.wikipedia.org/wiki/The_Crucible_of_Doubt
The Book of Mormon: A Very Short Introduction,Terryl Givens,2020,160,https://en.wikipedia.org/wiki/A_Very_Short_Introduction
The 7 Habits of Highly Effective People,Stephen R. Covey,1989,381,https://en.wikipedia.org/wiki/The_7_Habits_of_Highly_Effective_People
Believing Christ,Stephen E. Robinson,1992,144,https://en.wikipedia.org/wiki/Stephen_E._Robinson
Light in the Wilderness,Chieko N. Okazaki,1993,160,https://en.wikipedia.org/wiki/Chieko_N._Okazaki
The Broken Heart,Bruce C. Hafen,1994,224,https://en.wikipedia.org/wiki/Bruce_C._Hafen
Standing for Something,Gordon B. Hinckley,2000,205,https://en.wikipedia.org/wiki/Gordon_B._Hinckley
Amazed by Grace,Sheri L. Dew,2015,240,https://en.wikipedia.org/wiki/Sheri_L._Dew
No Man Knows My History,Fawn M. Brodie,1945,499,https://en.wikipedia.org/wiki/No_Man_Knows_My_History
The Mormon Experience,Leonard J. Arrington & Davis Bitton,1979,416,https://en.wikipedia.org/wiki/The_Mormon_Experience
Mormon Enigma: Emma Hale Smith,Linda K. Newell & Valeen T. Avery,1984,432,https://en.wikipedia.org/wiki/Mormon_Enigma:_Emma_Hale_Smith
Joseph Smith: Rough Stone Rolling,Richard Bushman,2005,740,https://en.wikipedia.org/wiki/Joseph_Smith:_Rough_Stone_Rolling
Saints: The Standard of Truth (Vol. 1),The Church of Jesus Christ of Latter-day Saints,2018,687,https://en.wikipedia.org/wiki/Saints_(book_series
First Vision: Memory and Mormon Origins,Steven C. Harper,2019,264,https://en.wikipedia.org/wiki/Steven_C._Harper
Jesus the Christ,James E. Talmage,1915,754,https://en.wikipedia.org/wiki/Jesus_the_Christ_(book
A Marvelous Work and a Wonder,LeGrand Richards,1950,424,https://en.wikipedia.org/wiki/A_Marvelous_Work_and_a_Wonder
Mormon Doctrine,Bruce R. McConkie,1958,856,https://en.wikipedia.org/wiki/Mormon_Doctrine_(book
The Miracle of Forgiveness,Spencer W. Kimball,1969,357,https://en.wikipedia.org/wiki/The_Miracle_of_Forgiveness
A Witness and a Warning,Ezra Taft Benson,1988,133,https://en.wikipedia.org/wiki/Ezra_Taft_Benson
Our Search for Happiness,M. Russell Ballard,1993,192,https://en.wikipedia.org/wiki/M._Russell_Ballard
